response_id,hours_together_with_chat_before,hours_together_without_chat_before,hours_alone_before,hours_together_with_chat_after,hours_together_without_chat_after,hours_alone_before_duplicate
R_3L0dsQEmJBoz6CB,60,NA,NA,50,NA,NA
R_55QtESMR1CmR1bb,10,5,10,15,10,10
R_egrPbOmESOQ7LH3,NA,NA,15,NA,NA,15
R_1DM7yYCOiYR4ya2,NA,NA,NA,NA,NA,NA
R_A672rfL6ej9Rq8h,NA,NA,NA,11,NA,11
R_3nIcJNaem29eD3m,20,15,10,30,15,15
R_3IXNsI0MDPSrAEU,1,3,6,5,3,2
R_3mltujcfVRDBFwo,NA,NA,NA,NA,NA,NA
R_21b9j1WapXLQCLl,NA,NA,NA,NA,10,NA
R_CZwSxUPuv8a4BYl,NA,NA,NA,NA,NA,13
R_0HrndcL3lki2lZ7,7,7,17,14,NA,35
R_3rYAprW0GQ77H60,20,20,20,15,15,NA
R_2PCnueh0z8dxONX,NA,NA,NA,NA,NA,NA
R_30enO1wA4LKIhUd,NA,NA,NA,NA,NA,NA
R_3feFL01maECWrJE,NA,NA,NA,NA,NA,NA
R_12JyJmQfO8sTgUl,60,80,10,NA,NA,NA
R_2Xiozx8q35QPmPN,NA,NA,NA,NA,NA,NA
R_x5Wbvksc6tIcvE5,NA,NA,NA,NA,NA,NA
R_2U30JqzB8uJ3URG,NA,10,15,NA,8,1
R_3CPHuI39ahB49V3,NA,NA,NA,NA,NA,NA
R_pJC3uBxyJBR1a1z,4,3,NA,4,4,4
R_1QDQVGgr43kczoS,NA,4,NA,NA,NA,NA
R_9zzr3A5XBoHiHol,NA,NA,NA,NA,NA,16
R_3gSjiAkUHvZ1gGz,NA,20,NA,3,19,NA
R_b3Iy7fxUDsppxAJ,5,NA,NA,NA,NA,NA
R_2qEHaRpK9wttPrJ,NA,4,1,NA,2,NA
R_2zVbcDhM4AXPsZT,4,19,22,12,11,16
R_3PcoH72zwQSCOj0,5,NA,NA,10,NA,24
R_1IWvRT0mkoPQqkR,NA,NA,5,NA,NA,8
R_0PSG9nkpvJ2cBah,10,NA,5,10,5,NA
R_3EbVJrxApyyyxvF,30,NA,NA,40,NA,NA
R_3P6tAdx0tJOoBY2,5,NA,NA,20,NA,10
R_1KcXIYg2VO1BoxX,20,NA,5,20,NA,10
R_1LOoKq6ur4rIe2k,NA,NA,37,NA,NA,47
R_Q4TbigA0CMUCMAF,NA,NA,30,5,3,40
R_2tmo57HEtiFMvam,4,NA,NA,3,NA,NA
R_efceETmT2E2TBXH,NA,25,27,26,28,21
R_2f7DrkD8sE89X7v,5,10,10,NA,NA,20
R_3isVf81cZgHhWye,NA,NA,NA,NA,NA,NA
R_3fxYkqCxaavMK2C,NA,NA,NA,1,NA,NA
R_2WMfTALD7U10gRI,NA,NA,NA,NA,NA,NA
R_1FFzNzuAi8fWUl4,NA,NA,30,1,17,15
R_3iw1b49YIXMCguO,4,NA,36,NA,NA,23
R_1hVTVxhlItv93am,NA,NA,NA,NA,NA,NA
R_21EuXEwnMl0yxTK,NA,NA,30,NA,NA,30
R_2dEoEx60XXDHIIc,15,NA,NA,NA,NA,NA
R_3m96s3870QvAUkz,NA,NA,40,NA,NA,NA
R_1OZgGesjhXXAzby,NA,NA,NA,3,NA,NA
R_1q261O0L8N3K286,NA,NA,NA,NA,NA,NA
R_1GwdHSgm3odLvzg,NA,NA,13,NA,NA,18
R_3PcqPxFcGNpruMf,3,NA,NA,4,NA,NA
R_3pmQxy0TjRvKfQq,NA,NA,NA,NA,NA,NA
R_3hh98EI7vZruSPW,NA,NA,NA,NA,NA,NA
R_2CPzQnu9xzkVMwO,29,4,15,20,10,15
R_1Qza6Mn31sTJeYL,14,NA,NA,10,NA,NA
R_1ffI8lqVrhKTZ7E,4,1,14,3,1,14
R_1jiU18Tkb0T0XV3,5,NA,20,15,NA,15
R_3siyKpiPmQRcuE2,NA,3,16,NA,2,16
R_1meXA4TrxC5Vg18,NA,NA,NA,NA,NA,NA
R_3KHiukMNRuxucCu,8,31,13,3,15,26
R_1i5qKh6GOnE0oJ3,NA,NA,NA,NA,NA,NA
R_330XwyrcBDhgBbG,NA,NA,NA,NA,NA,NA
R_3gZQ1C8SCyoh4Yc,10,NA,10,10,NA,5
R_2uNXceKKzdWqUIT,NA,3,6,NA,7,14
R_SSMMEEODX9uDbLr,33,NA,NA,50,NA,NA
R_2VgXBPQ7UiiIILW,20,1,10,20,9,1
R_2U4rKifkmjVyf6B,NA,NA,NA,NA,NA,NA
R_2v8uF7yPoq01u0w,10,3,3,10,NA,20
R_1H0rge5nxLFRo3v,4,NA,14,21,NA,11
R_rqkHtlJzlFPbYgF,NA,NA,NA,NA,NA,NA
R_xAymUDRf13ewvE5,NA,NA,NA,NA,1,NA
R_23W8Gu6uSBy5aEM,NA,NA,NA,NA,NA,NA
R_2zMWZPoTl4gnah2,4,NA,1,3,NA,1
R_325eUWTIGcn1611,NA,NA,50,NA,NA,NA
R_3j2oWZoAEr1njjz,10,NA,20,15,NA,15
R_TemVHsV6Me3tByp,48,NA,12,48,NA,8
