response_id,time,score_emotional_loneliness,score_social_loneliness,missing_emotional_loneliness,missing_social_loneliness,total_score,total_missing
R_0HrndcL3lki2lZ7,before,0,0,0,0,0,0
R_0HrndcL3lki2lZ7,after,0,0,0,0,0,0
R_0PSG9nkpvJ2cBah,before,0,0,0,0,0,0
R_0PSG9nkpvJ2cBah,after,0,0,0,0,0,0
R_12JyJmQfO8sTgUl,before,0,0,0,0,0,0
R_12JyJmQfO8sTgUl,after,0,0,0,0,0,0
R_1DM7yYCOiYR4ya2,before,0,0,0,0,0,0
R_1DM7yYCOiYR4ya2,after,0,0,0,0,0,0
R_1ffI8lqVrhKTZ7E,before,0,0,0,0,0,0
R_1ffI8lqVrhKTZ7E,after,0,0,0,0,0,0
R_1FFzNzuAi8fWUl4,before,0,0,0,0,0,0
R_1FFzNzuAi8fWUl4,after,0,0,0,0,0,0
R_1GwdHSgm3odLvzg,before,0,0,0,0,0,0
R_1GwdHSgm3odLvzg,after,0,0,0,0,0,0
R_1H0rge5nxLFRo3v,before,0,0,0,0,0,0
R_1H0rge5nxLFRo3v,after,0,0,0,0,0,0
R_1hVTVxhlItv93am,before,0,0,0,0,0,0
R_1hVTVxhlItv93am,after,0,0,0,0,0,0
R_1i5qKh6GOnE0oJ3,before,0,0,0,0,0,0
R_1i5qKh6GOnE0oJ3,after,0,0,0,0,0,0
R_1IWvRT0mkoPQqkR,before,0,0,0,0,0,0
R_1IWvRT0mkoPQqkR,after,0,0,0,0,0,0
R_1jiU18Tkb0T0XV3,before,0,0,0,0,0,0
R_1jiU18Tkb0T0XV3,after,0,0,0,0,0,0
R_1KcXIYg2VO1BoxX,before,0,0,0,0,0,0
R_1KcXIYg2VO1BoxX,after,0,0,0,0,0,0
R_1LOoKq6ur4rIe2k,before,0,0,0,0,0,0
R_1LOoKq6ur4rIe2k,after,0,0,0,0,0,0
R_1meXA4TrxC5Vg18,before,0,0,0,0,0,0
R_1meXA4TrxC5Vg18,after,0,0,0,0,0,0
R_1OZgGesjhXXAzby,before,0,0,0,0,0,0
R_1OZgGesjhXXAzby,after,0,0,0,0,0,0
R_1PduFoVTfVrZ2rb,before,0,0,0,0,0,0
R_1PduFoVTfVrZ2rb,after,0,0,0,0,0,0
R_1PRfsA5T7H2CKfS,before,0,0,0,0,0,0
R_1PRfsA5T7H2CKfS,after,0,0,0,0,0,0
R_1q261O0L8N3K286,before,0,0,0,0,0,0
R_1q261O0L8N3K286,after,0,0,0,0,0,0
R_1QDQVGgr43kczoS,before,0,0,0,0,0,0
R_1QDQVGgr43kczoS,after,0,0,0,0,0,0
R_1Qza6Mn31sTJeYL,before,0,0,0,0,0,0
R_1Qza6Mn31sTJeYL,after,0,0,0,0,0,0
R_21b9j1WapXLQCLl,before,0,0,0,0,0,0
R_21b9j1WapXLQCLl,after,0,0,0,0,0,0
R_21EuXEwnMl0yxTK,before,0,0,0,0,0,0
R_21EuXEwnMl0yxTK,after,0,0,0,0,0,0
R_23W8Gu6uSBy5aEM,before,0,0,0,0,0,0
R_23W8Gu6uSBy5aEM,after,0,0,0,0,0,0
R_2CPzQnu9xzkVMwO,before,0,0,0,0,0,0
R_2CPzQnu9xzkVMwO,after,0,0,0,0,0,0
R_2dEoEx60XXDHIIc,before,0,0,0,0,0,0
R_2dEoEx60XXDHIIc,after,0,0,0,0,0,0
R_2doSEH7IKdCE7CF,before,0,0,0,0,0,0
R_2doSEH7IKdCE7CF,after,0,0,0,0,0,0
R_2f3rm3GgNbp4CRq,before,0,0,0,0,0,0
R_2f3rm3GgNbp4CRq,after,0,0,0,0,0,0
R_2f7DrkD8sE89X7v,before,0,0,0,0,0,0
R_2f7DrkD8sE89X7v,after,0,0,0,0,0,0
R_2PCnueh0z8dxONX,before,0,0,0,0,0,0
R_2PCnueh0z8dxONX,after,0,0,0,0,0,0
R_2qEHaRpK9wttPrJ,before,0,0,0,0,0,0
R_2qEHaRpK9wttPrJ,after,0,0,0,0,0,0
R_2tmo57HEtiFMvam,before,0,0,0,0,0,0
R_2tmo57HEtiFMvam,after,0,0,0,0,0,0
R_2U30JqzB8uJ3URG,before,0,0,0,0,0,0
R_2U30JqzB8uJ3URG,after,0,0,0,0,0,0
R_2U4rKifkmjVyf6B,before,0,0,0,0,0,0
R_2U4rKifkmjVyf6B,after,0,0,0,0,0,0
R_2uNXceKKzdWqUIT,before,0,0,0,0,0,0
R_2uNXceKKzdWqUIT,after,0,0,0,0,0,0
R_2v8uF7yPoq01u0w,before,0,0,0,0,0,0
R_2v8uF7yPoq01u0w,after,0,0,0,0,0,0
R_2VgXBPQ7UiiIILW,before,0,0,0,0,0,0
R_2VgXBPQ7UiiIILW,after,0,0,0,0,0,0
R_2WMfTALD7U10gRI,before,0,0,0,0,0,0
R_2WMfTALD7U10gRI,after,0,0,0,0,0,0
R_2Xiozx8q35QPmPN,before,0,0,0,0,0,0
R_2Xiozx8q35QPmPN,after,0,0,0,0,0,0
R_2zMWZPoTl4gnah2,before,0,0,0,0,0,0
R_2zMWZPoTl4gnah2,after,0,0,0,0,0,0
R_2ZNtv2mSWkr9BAA,before,0,0,0,0,0,0
R_2ZNtv2mSWkr9BAA,after,0,0,0,0,0,0
R_2zVbcDhM4AXPsZT,before,0,0,0,0,0,0
R_2zVbcDhM4AXPsZT,after,0,0,0,0,0,0
R_30enO1wA4LKIhUd,before,0,0,0,0,0,0
R_30enO1wA4LKIhUd,after,0,0,0,0,0,0
R_325eUWTIGcn1611,before,0,0,0,0,0,0
R_325eUWTIGcn1611,after,0,0,0,0,0,0
R_330XwyrcBDhgBbG,before,0,0,0,0,0,0
R_330XwyrcBDhgBbG,after,0,0,0,0,0,0
R_3CPHuI39ahB49V3,before,0,0,0,0,0,0
R_3CPHuI39ahB49V3,after,0,0,0,0,0,0
R_3EbVJrxApyyyxvF,before,0,0,0,0,0,0
R_3EbVJrxApyyyxvF,after,0,0,0,0,0,0
R_3feFL01maECWrJE,before,0,0,0,0,0,0
R_3feFL01maECWrJE,after,0,0,0,0,0,0
R_3ffaX6ZxMiXrdas,before,0,0,0,0,0,0
R_3ffaX6ZxMiXrdas,after,0,0,0,0,0,0
R_3fxYkqCxaavMK2C,before,0,0,0,0,0,0
R_3fxYkqCxaavMK2C,after,0,0,0,0,0,0
R_3gSjiAkUHvZ1gGz,before,0,0,0,0,0,0
R_3gSjiAkUHvZ1gGz,after,0,0,0,0,0,0
R_3gZQ1C8SCyoh4Yc,before,0,0,0,0,0,0
R_3gZQ1C8SCyoh4Yc,after,0,0,0,0,0,0
R_3hh98EI7vZruSPW,before,0,0,0,0,0,0
R_3hh98EI7vZruSPW,after,0,0,0,0,0,0
R_3isVf81cZgHhWye,before,0,0,0,0,0,0
R_3isVf81cZgHhWye,after,0,0,0,0,0,0
R_3iw1b49YIXMCguO,before,0,0,0,0,0,0
R_3iw1b49YIXMCguO,after,0,0,0,0,0,0
R_3IXNsI0MDPSrAEU,before,0,0,0,0,0,0
R_3IXNsI0MDPSrAEU,after,0,0,0,0,0,0
R_3j2oWZoAEr1njjz,before,0,0,0,0,0,0
R_3j2oWZoAEr1njjz,after,0,0,0,0,0,0
R_3JKlZpSiIyeDuwv,before,0,0,0,0,0,0
R_3JKlZpSiIyeDuwv,after,0,0,0,0,0,0
R_3KHiukMNRuxucCu,before,0,0,0,0,0,0
R_3KHiukMNRuxucCu,after,0,0,0,0,0,0
R_3L0dsQEmJBoz6CB,before,0,0,0,0,0,0
R_3L0dsQEmJBoz6CB,after,0,0,0,0,0,0
R_3m96s3870QvAUkz,before,0,0,0,0,0,0
R_3m96s3870QvAUkz,after,0,0,0,0,0,0
R_3mltujcfVRDBFwo,before,0,0,0,0,0,0
R_3mltujcfVRDBFwo,after,0,0,0,0,0,0
R_3nIcJNaem29eD3m,before,0,0,0,0,0,0
R_3nIcJNaem29eD3m,after,0,0,0,0,0,0
R_3P6tAdx0tJOoBY2,before,0,0,0,0,0,0
R_3P6tAdx0tJOoBY2,after,0,0,0,0,0,0
R_3PcoH72zwQSCOj0,before,0,0,0,0,0,0
R_3PcoH72zwQSCOj0,after,0,0,0,0,0,0
R_3PcqPxFcGNpruMf,before,0,0,0,0,0,0
R_3PcqPxFcGNpruMf,after,0,0,0,0,0,0
R_3pmQxy0TjRvKfQq,before,0,0,0,0,0,0
R_3pmQxy0TjRvKfQq,after,0,0,0,0,0,0
R_3rYAprW0GQ77H60,before,0,0,0,0,0,0
R_3rYAprW0GQ77H60,after,0,0,0,0,0,0
R_3siyKpiPmQRcuE2,before,0,0,0,0,0,0
R_3siyKpiPmQRcuE2,after,0,0,0,0,0,0
R_55QtESMR1CmR1bb,before,0,0,0,0,0,0
R_55QtESMR1CmR1bb,after,0,0,0,0,0,0
R_9zzr3A5XBoHiHol,before,0,0,0,0,0,0
R_9zzr3A5XBoHiHol,after,0,0,0,0,0,0
R_A672rfL6ej9Rq8h,before,0,0,0,0,0,0
R_A672rfL6ej9Rq8h,after,0,0,0,0,0,0
R_b3Iy7fxUDsppxAJ,before,0,0,0,0,0,0
R_b3Iy7fxUDsppxAJ,after,0,0,0,0,0,0
R_CZwSxUPuv8a4BYl,before,0,0,0,0,0,0
R_CZwSxUPuv8a4BYl,after,0,0,0,0,0,0
R_efceETmT2E2TBXH,before,0,0,0,0,0,0
R_efceETmT2E2TBXH,after,0,0,0,0,0,0
R_egrPbOmESOQ7LH3,before,0,0,0,0,0,0
R_egrPbOmESOQ7LH3,after,0,0,0,0,0,0
R_ekEOouSfdEsS5vb,before,0,0,0,0,0,0
R_ekEOouSfdEsS5vb,after,0,0,0,0,0,0
R_pJC3uBxyJBR1a1z,before,0,0,0,0,0,0
R_pJC3uBxyJBR1a1z,after,0,0,0,0,0,0
R_Q4TbigA0CMUCMAF,before,0,0,0,0,0,0
R_Q4TbigA0CMUCMAF,after,0,0,0,0,0,0
R_rqkHtlJzlFPbYgF,before,0,0,0,0,0,0
R_rqkHtlJzlFPbYgF,after,0,0,0,0,0,0
R_SSMMEEODX9uDbLr,before,0,0,0,0,0,0
R_SSMMEEODX9uDbLr,after,0,0,0,0,0,0
R_TemVHsV6Me3tByp,before,0,0,0,0,0,0
R_TemVHsV6Me3tByp,after,0,0,0,0,0,0
R_x5Wbvksc6tIcvE5,before,0,0,0,0,0,0
R_x5Wbvksc6tIcvE5,after,0,0,0,0,0,0
R_xAymUDRf13ewvE5,before,0,0,0,0,0,0
R_xAymUDRf13ewvE5,after,0,0,0,0,0,0
