item,label
1,There is always someone I can talk to about my day-to-day problems
2,I miss having a really close friend
3,I experience a general sense of emptiness
4,There are plenty of people I can rely on when I have problems
5,I miss the pleasure of the company of others
6,I find my circle of friends and acquaintances too limited
7,There are many people I can trust completely
8,There are enough people I feel close to
9,I miss having people around
10,I often feel rejected
11,I can call on my friends whenever I need them
