response_id,amotivation_before,amotivation_after,external_regulation_before,external_regulation_after,identified_regulation_before,identified_regulation_after,instrinsic_motivation_before,instrinsic_motivation_after,integrated_regulation_before,integrated_regulation_after,introjected_regulation_before,introjected_regulation_after
R_0Iq1QihJbkIZGG5,6,6,12,18,18,18,28,18,18,18,12,14
R_0xNlcN3NDWsWFsl,12,14,18,6,20,6,26,6,18,6,14,6
R_1Ghi9cuDLyS5Fvj,26,18,14,14,12,16,16,16,10,12,8,8
R_1GTWJReePx9Mt0Y,18,16,20,22,12,14,16,14,20,14,18,18
R_1jwyyqW3BkMXKqC,6,6,20,20,20,20,26,24,20,20,18,12
R_1l3QaBdaMZAzDNc,10,12,22,24,18,18,30,28,12,12,12,16
R_1OGOApUcrgQ9PDV,12,22,18,6,20,12,26,24,18,6,14,6
R_22Q9Iw4NYMriVYz,6,6,16,12,12,12,20,14,18,16,8,6
R_237akAEwp1ZNQtX,6,6,18,12,22,22,36,26,6,6,6,6
R_28YlGk4KWcNC1Hz,20,22,26,28,26,26,22,22,28,26,24,24
R_2ANDY1UL9QHh0bt,14,6,24,24,20,22,28,28,20,16,14,10
R_2fjoBMWdN1ICH1c,12,12,18,18,20,20,26,26,18,18,14,12
R_2fy7OLb5SO3rVpk,24,36,6,6,6,6,10,6,14,8,12,18
R_2qpx286lR9fjVMC,30,24,24,24,18,18,28,22,16,16,16,18
R_2ri38po4P4fnJtK,16,22,16,26,14,6,36,6,6,6,6,6
R_2riPjmHJ1ujE2AI,16,12,20,18,16,20,18,26,12,18,12,12
R_2VsTI6YcrvQkU00,10,8,16,18,20,18,28,26,28,16,18,18
R_2WUWSPXQGpkoYiQ,10,6,32,32,8,18,36,36,24,20,24,20
R_2Y3vSpPmQtCUg27,6,6,8,6,28,14,36,36,26,26,14,6
R_2ZNqbe16jkaSqDs,6,6,26,28,30,32,30,30,22,14,6,6
R_31BhgcJAtt4udIx,18,6,36,36,34,36,36,36,36,36,24,36
R_31RjR49IX1YOJ7y,12,6,18,32,20,16,26,36,18,18,14,14
R_3Dhl5RDE5WPkhjZ,12,12,18,18,20,20,26,26,18,18,14,12
R_3e2GBC1tsXm5UH9,12,10,26,24,18,16,28,26,10,18,18,12
R_3EbuYRY1KfEPCX3,12,6,18,12,22,20,28,24,26,24,22,18
R_3fiMnltHW0VY7HP,16,18,26,30,24,16,32,30,20,16,18,10
R_3fW7nwlGuhwYbo5,6,6,20,16,26,22,24,26,20,26,16,6
R_3g11OuFlZDreUWH,24,18,24,24,22,24,22,22,22,22,18,26
R_3HIxxqBts6Z0OZO,10,10,20,16,10,18,32,30,14,8,12,14
R_3PNeMMqpSuzFgK6,6,6,16,18,14,14,26,20,14,18,6,12
R_3QM1yoXPn1WIPIp,12,12,18,18,20,20,26,26,18,18,14,12
R_5A6WR2APgRZFueJ,6,14,24,18,22,22,32,28,36,34,20,22
R_5AVWI45K9Om73Gh,6,6,16,12,6,6,16,14,6,6,6,6
R_6nxz0eKfNc1cdKF,20,14,12,18,14,22,14,32,14,18,6,20
R_82Cae0gGCtZlvZD,18,12,14,18,6,6,36,30,6,6,10,6
R_8vUJrorD6qPhNCh,10,6,10,10,12,12,32,26,10,6,8,10
R_9Y4ZP3qLoi3t7fH,26,30,6,6,20,22,24,22,22,22,12,14
R_AFO5tTqn4Q8XmqB,8,16,36,36,18,20,30,36,14,12,30,22
R_bl5z1a8F19q4rol,6,6,20,16,26,26,22,24,30,26,16,14
R_cTMYr4InmqWqxyx,12,12,18,18,20,20,26,26,18,18,14,12
R_O22BvtbesSiM9H3,24,28,34,30,26,22,28,24,22,22,32,34
R_O9VAqYUDUshWv73,12,12,18,18,20,20,26,26,18,18,14,12
R_p59dkfQNljmhosh,12,12,18,18,20,20,26,26,18,18,14,12
R_Rfb8RkRh6RRJLTr,12,6,18,12,20,10,26,24,18,6,14,6
R_SDnvXDdPlMdrs9r,6,6,6,6,36,34,36,36,22,26,12,12
R_Ub92pGLz1xv4fbr,10,6,22,24,26,22,28,32,24,24,12,12
R_V213xJcCci8mpHj,6,6,26,22,20,26,28,24,24,22,12,10
R_vlag3f3fIWmaxeV,10,24,24,26,20,24,24,30,20,28,14,26
R_w7AV8G1eEuySSVr,6,6,6,6,24,22,24,28,22,18,6,6
R_WkD2Xf1StVlY1k5,16,6,20,24,12,8,30,22,14,6,6,6
R_Wrr9h9YwjeBoNpf,6,6,22,20,28,22,28,26,26,22,6,6
R_XYYWZaTga3BEXdL,8,6,18,20,22,24,34,26,24,24,12,12
R_yl0OHDoTCu63b7b,24,24,18,22,20,22,30,28,32,24,12,24
R_ZIyPy9Dq6G7mGIx,16,12,12,12,12,8,32,32,6,6,6,6
R_zSuKsNMuq2O2oA9,6,6,10,6,22,18,28,28,24,18,12,6
